"file","title","status","doi","edit_url"
"tutorials/anova/anova.qmd","ANOVA, MANOVA, and ANCOVA using R","SKIPPED — DOI exists","10.5281/zenodo.19329144",""
"tutorials/atap_docclass/atap_docclass.qmd","Classifying American Speeches","SKIPPED — DOI exists","10.5281/zenodo.19329146",""
"tutorials/basicquant/basicquant.qmd","Basic Concepts in Quantitative Research","SKIPPED — DOI exists","10.5281/zenodo.19329153",""
"tutorials/basicstatz/basicstatz.qmd","Basic Inferential Statistics using R","SKIPPED — DOI exists","10.5281/zenodo.19329155",""
"tutorials/clust/clust.qmd","Cluster and Correspondence Analysis in R","SKIPPED — DOI exists","10.5281/zenodo.19329159",""
"tutorials/collocation_tutorial/collocation_tutorial.qmd","Analyzing Collocations and N-grams in R","SKIPPED — DOI exists","10.5281/zenodo.19332085",""
"tutorials/conceptmaps/conceptmaps.qmd","Conceptual Maps in R","SKIPPED — DOI exists","10.5281/zenodo.19332087",""
"tutorials/conceptualmaps_showcase/conceptualmaps_showcase.qmd","Comparing Methods for Conceptual Maps","SKIPPED — DOI exists","10.5281/zenodo.19332091",""
"tutorials/concordancing_tutorial/concordancing_tutorial.qmd","Finding Words in Text: Concordancing with R","SKIPPED — DOI exists","10.5281/zenodo.19332093",""
"tutorials/corpuscompilation_tutorial/corpuscompilation_tutorial.qmd","Compiling a Corpus: From Texts to Analysis-Ready Data","SKIPPED — DOI exists","10.5281/zenodo.19332645",""
"tutorials/corpuslinguistics_showcase/corpuslinguistics_showcase.qmd","Corpus Linguistics with R","SKIPPED — DOI exists","10.5281/zenodo.19332649",""
"tutorials/datamanage/datamanage.qmd","Introduction to Data Management for Researchers","SKIPPED — DOI exists","10.5281/zenodo.19332651",""
"tutorials/descriptivestats_tutorial/descriptivestats_tutorial.qmd","Descriptive Statistics with R","SKIPPED — DOI exists","10.5281/zenodo.19332864",""
"tutorials/dimensionredux_tutorial/dimensionredux_tutorial.qmd","Dimension Reduction Methods with R","SKIPPED — DOI exists","10.5281/zenodo.19332866",""
"tutorials/dviz/dviz.qmd","Mastering Data Visualization with R","SKIPPED — DOI exists","10.5281/zenodo.19332872",""
"tutorials/embeddings/embeddings.qmd","Word Embeddings and Vector Semantics","SKIPPED — DOI exists","10.5281/zenodo.19332874",""
"tutorials/eyetracking/eyetracking.qmd","Processing and Analysing Eye-Tracking Data in R","DRAFT CREATED","10.5281/zenodo.19350403","https://zenodo.org/deposit/19350403"
"tutorials/gutenberg/gutenberg.qmd","Downloading Texts from Project Gutenberg using R","SKIPPED — DOI exists","10.5281/zenodo.19332882",""
